Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year
The Beach Boys Medley,The Beach Boys,3:54,4,0.434,0.511,2,-11.57,1,0.107,0.543,0,0.0704,0.693,163.507,17,1981
Don’t Stand So Close To Me,The Police,3:52,4,0.413,0.614,7,-8.224,0,0.055,0.138,0.000338,0.866,0.116,147.203,13,1981
We’re In This Love Together,Al Jarreau,3:46,4,0.597,0.323,5,-15.648,1,0.0495,0.564,0.0000233,0.628,0.627,79.398,10,1981
Super Freak (PART 1),Rick James,3:24,4,0.863,0.649,9,-12.026,0,0.0577,0.0451,0,0.0357,0.962,132.504,9,1981
I’ve Done Everything For You,Rick Springfield,3:20,4,0.346,0.869,11,-7.019,1,0.0448,0.0755,0,0.931,0.645,159.696,8,1981
The Breakup Song (THEY Don’t Write ‘EM),The Greg Kihn Band,2:52,4,0.651,0.926,2,-5.216,1,0.0659,0.097,0.0000349,0.0369,0.699,149.974,6,1981
Arthur’s Theme (BEST That You Can Do),Christopher Cross,3:17,4,0.62,0.214,11,-8.763,1,0.0345,0.879,0.0000329,0.0979,0.291,139.137,3,1981
Do I Do,Stevie Wonder,2:29,4,0.681,0.714,1,-4.617,0,0.0309,0.0375,0,0.232,0.554,129.976,91,1982
Trouble,Lindsey Buckingham,0:41,4,0.706,0.85,11,-3.308,1,0.282,0.0532,0,0.109,0.72,82.652,82,1982
Tainted Love,Soft Cell,2:33,4,0.5,0.501,0,-8.284,0,0.0376,0.462,0,0.26,0.623,144.438,81,1982
I Love Rock ‘N Roll,Joan Jett & The Blackhearts,2:55,4,0.535,0.716,4,-5.025,1,0.0431,0.326,0,0.659,0.901,94.379,80,1982
"Oh, Pretty Woman",Van Halen,2:58,4,0.619,0.603,9,-9.481,1,0.0342,0.712,0,0.0721,0.958,127.433,80,1982
Heart Attack,Olivia Newton-John,3:30,4,0.504,0.785,8,-4.802,1,0.104,0.0738,0,0.239,0.502,173.968,79,1982
Mirror Mirror,Diana Ross,8:04,4,0.574,0.512,5,-6.664,0,0.0503,0.234,0,0.0946,0.512,76.899,79,1982
Open Arms,Journey,3:59,4,0.434,0.586,9,-7.612,1,0.138,0.753,0.0144,0.146,0.239,78.259,78,1982
Physical,Olivia Newton-John,3:13,4,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,78,1982
Eye Of The Tiger,Survivor,4:03,4,0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,77,1982
Sweet Dreams,Air Supply,2:53,4,0.71,0.57,2,-4.99,0,0.0295,0.251,0.000306,0.117,0.486,75.036,77,1982
Who Can It Be Now?,Men at Work,3:21,4,0.805,0.479,4,-14.734,1,0.0436,0.0627,0.000143,0.104,0.962,128.411,76,1982
Hold Me,Fleetwood Mac,3:51,4,0.463,0.427,8,-9.799,0,0.0549,0.628,0.000565,0.0911,0.231,116.059,75,1982
Jack & Diane,John Cougar,4:14,4,0.811,0.41,9,-8.214,1,0.0391,0.0365,0.00000663,0.0799,0.626,103.963,75,1982
The Other Woman,Ray Parker Jr.,3:01,4,0.255,0.468,7,-6.43,0,0.0317,0.822,0.248,0.339,0.175,111.67,74,1982
Oh No,Commodores,3:02,4,0.77,0.896,0,-3.971,1,0.039,0.0539,0,0.243,0.964,126.999,73,1982
Rosanna,Toto,5:31,4,0.365,0.513,7,-13.034,0,0.0357,0.0208,0.000147,0.205,0.739,80.647,73,1982
Think I’m In Love,Eddie Money,3:42,4,0.671,0.418,6,-14.124,0,0.0371,0.187,0.215,0.132,0.607,91.866,73,1982
Eye In The Sky,Alan Parsons Project,4:36,4,0.823,0.417,2,-12.643,1,0.032,0.562,0.00098,0.0765,0.522,111.928,72,1982
Centerfold,J. Geils Band,3:36,4,0.653,0.677,0,-12.244,1,0.0396,0.249,0,0.403,0.888,114.374,71,1982
Edge Of Seventeen,Stevie Nicks,5:29,4,0.591,0.804,0,-7.299,1,0.0454,0.327,0.00000598,0.0818,0.658,111.457,71,1982
Hold On,Santana,3:47,4,0.777,0.414,6,-7.44,0,0.0946,0.00421,0.0000273,0.0724,0.287,100.002,71,1982
Making Love,Roberta Flack,5:41,4,0.388,0.72,7,-5.541,1,0.033,0.202,0.000288,0.283,0.554,141.283,71,1982
Waiting For A Girl Like You,Foreigner,4:52,4,0.33,0.469,10,-9.286,0,0.0335,0.31,0.0000023,0.0402,0.433,201.327,71,1982
HURTS SO GOOD,John Cougar,3:38,4,0.785,0.737,9,-5.306,1,0.0363,0.042,0.000107,0.108,0.971,125.447,70,1982
Up Where We Belong,Joe Cocker & Jennifer Warnes,3:52,4,0.624,0.306,2,-11.831,1,0.0318,0.634,0.0000267,0.0632,0.227,139.912,70,1982
Abracadabra,Steve Miller Band,5:08,4,0.791,0.534,9,-13.261,0,0.0355,0.0749,0.00000199,0.156,0.963,127.488,69,1982
Gloria,Laura Branigan,4:49,4,0.776,0.743,9,-6.807,1,0.0289,0.107,0.293,0.149,0.84,131.343,68,1982
Heat Of The Moment,Asia,3:47,4,0.306,0.86,1,-7.371,1,0.0534,0.204,0.000146,0.369,0.541,136.265,68,1982
Get Down On It,Kool & the Gang,3:31,4,0.877,0.56,7,-8.529,1,0.0621,0.156,0.000139,0.0535,0.969,110.86,67,1982
I Can’t Go For That (NO Can Do),Daryl Hall & John Oates,5:07,4,0.889,0.441,0,-9.506,0,0.0379,0.0405,0.000788,0.038,0.963,110.565,67,1982
Somebody’s Baby,Jackson Browne,3:39,4,0.706,0.46,1,-9.061,1,0.0296,0.847,0.00793,0.106,0.226,102.98,67,1982
That Girl,Stevie Wonder,2:14,4,0.952,0.494,10,-8.869,0,0.0826,0.0757,0,0.0545,0.597,102.998,67,1982
Vacation,The Go-Go’s,3:29,4,0.739,0.749,8,-5.586,1,0.0337,0.0391,0,0.107,0.831,150.052,67,1982
Even The Nights Are Better,Air Supply,3:57,4,0.434,0.507,5,-10.422,1,0.0358,0.565,0,0.161,0.236,115.309,64,1982
Only The Lonely,The Motels,2:25,4,0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273,64,1982
Always On My Mind,Willie Nelson,3:32,4,0.524,0.261,2,-13.868,1,0.0272,0.755,0.00105,0.144,0.201,73.36,63,1982
Blue Eyes,Elton John,2:36,4,0.702,0.616,6,-4.903,1,0.326,0.686,0,0.145,0.507,80.482,63,1982
Caught Up In You,38 Special,4:39,4,0.425,0.681,1,-8.604,0,0.0316,0.0229,0.000219,0.0543,0.933,131.011,63,1982
Goin’ Down,Greg Guidry,1:55,4,0.873,0.663,1,-4.086,1,0.15,0.0216,0.000356,0.0867,0.525,135.499,63,1982
Through The Years,Kenny Rogers,4:46,4,0.587,0.393,0,-11.455,1,0.028,0.225,0,0.107,0.271,131.266,63,1982
You Can Do Magic,America,3:57,4,0.859,0.568,4,-12.516,0,0.0387,0.29,0,0.31,0.936,129.72,63,1982
867-5309/Jenny,Tommy Tutone,3:46,4,0.584,0.708,5,-10.039,1,0.0593,0.0264,0.00364,0.112,0.564,137.657,62,1982
Cool Night,Paul Davis,5:17,4,0.87,0.299,10,-13.409,1,0.248,0.122,0.0514,0.0926,0.933,75.895,61,1982
Do You Believe In Love,Huey Lewis and the News,3:29,4,0.547,0.636,11,-10.948,1,0.0314,0.0582,0,0.249,0.817,114.054,61,1982
I Ran (SO Far Away),A Flock of Seagulls,3:41,4,0.51,0.771,2,-6.666,1,0.0341,0.000205,0.831,0.135,0.644,145.522,61,1982
Waiting On A Friend,The Rolling Stones,4:34,4,0.611,0.794,0,-6.042,1,0.0283,0.155,0.0365,0.568,0.905,116.981,61,1982
Crimson And Clover,Joan Jett & The Blackhearts,3:28,4,0.404,0.591,11,-12.277,1,0.0724,0.256,0.0346,0.177,0.654,82.44,60,1982
Leader Of The Band,Dan Fogelberg,4:16,4,0.628,0.159,8,-14.363,1,0.0333,0.872,0,0.111,0.505,135.003,60,1982
You Could Have Been With Me,Sheena Easton,3:04,4,0.244,0.44,7,-7.777,1,0.0475,0.871,0.0000865,0.372,0.113,82.02,60,1982
Ebony And Ivory,Paul McCartney and Stevie Wonder,3:46,4,0.567,0.692,4,-7.881,1,0.0379,0.0784,0,0.0338,0.708,160.697,58,1982
Turn Your Love Around,George Benson,3:50,4,0.627,0.385,9,-13.655,0,0.0537,0.334,0,0.182,0.766,205.726,58,1982
We Got The Beat,The Go-Go’s,2:33,4,0.587,0.994,2,-5.61,1,0.0451,0.157,0.0767,0.0319,0.482,151.938,58,1982
Break It To Me Gently,Juice Newton,2:44,3,0.539,0.26,0,-10.414,0,0.0268,0.588,0,0.134,0.492,92.032,57,1982
Leather And Lace,Stevie Nicks and Don Henley,3:45,4,0.49,0.432,3,-9.327,1,0.0298,0.639,0,0.104,0.367,153.753,57,1982
Shake It Up,The Cars,1:56,4,0.774,0.6,10,-6.728,0,0.12,0.121,0,0.0924,0.389,156.073,57,1982
Let It Whip,Dazz Band,4:41,4,0.82,0.838,9,-6.86,0,0.041,0.109,0.00228,0.0452,0.947,132.125,56,1982
Should I Do It,The Pointer Sisters,3:56,4,0.549,0.324,4,-11.769,1,0.0285,0.457,0.0000022,0.133,0.268,80.888,56,1982
Key Largo,Bertie Higgins,3:18,4,0.503,0.659,0,-6.829,1,0.0356,0.443,0,0.153,0.33,101.668,55,1982
Truly (#1*),Lionel Richie,3:00,4,0.672,0.388,0,-8.009,1,0.0315,0.54,0,0.223,0.552,113.051,55,1982
Harden My Heart,Quarterflash,3:52,4,0.531,0.43,11,-14.523,0,0.0578,0.0568,0.00000122,0.0964,0.453,124.284,54,1982
Why Do Fools Fall In Love?,Diana Ross,2:19,4,0.388,0.532,1,-8.685,1,0.102,0.51,0.00000306,0.0974,0.845,173.586,54,1982
Freeze-Frame,J. Geils Band,3:57,4,0.573,0.806,0,-10.978,1,0.0356,0.152,0.0116,0.405,0.934,186.326,53,1982
Personally,Karla Bonoff,3:12,5,0.569,0.734,6,-4.37,0,0.328,0.0824,0.000572,0.113,0.964,162.463,53,1982
Body Language,Queen,2:16,4,0.387,0.706,9,-8.74,1,0.128,0.639,0.00404,0.285,0.588,115.956,52,1982
Wasted On The Way,"Crosby, Stills & Nash",2:51,4,0.526,0.543,2,-12.895,1,0.0403,0.394,0.0000284,0.234,0.744,153.668,52,1982
Empty Garden (HEY Hey Johnny),Elton John,5:08,4,0.667,0.363,4,-13.498,1,0.0275,0.138,0.00000702,0.41,0.224,109.208,50,1982
Young Turks,Rod Stewart,5:02,4,0.641,0.821,5,-8.783,0,0.0325,0.274,0.487,0.138,0.705,161.143,50,1982
Don’t Stop Believin’,Journey,3:01,4,0.448,0.143,4,-21.261,1,0.0597,0.993,0.861,0.112,0.184,185.904,49,1982
Don’t Talk To Strangers,Rick Springfield,3:00,4,0.799,0.714,1,-9.472,0,0.0421,0.286,0,0.145,0.67,123.207,49,1982
Love Will Turn You Around,Kenny Rogers,3:41,4,0.64,0.44,4,-15.938,1,0.0295,0.226,0.00000443,0.122,0.613,86.952,49,1982
Any Day Now,Ronnie Milsap,3:42,4,0.696,0.532,5,-9.705,1,0.0237,0.148,0.00246,0.0842,0.624,103.359,48,1982
Take It Easy On Me,Little River Band,3:48,4,0.415,0.595,9,-8.87,1,0.0328,0.0146,0.00000231,0.271,0.27,121.635,48,1982
Take It Away,Paul McCartney,3:56,4,0.594,0.815,8,-3.467,1,0.0423,0.367,0,0.0948,0.339,137.937,47,1982
Don’t You Want Me,Human League,4:25,4,0.763,0.624,1,-6.295,1,0.0432,0.388,0.00501,0.316,0.783,97.743,46,1982
What’s Forever For,Michael Murphey,3:41,4,0.513,0.526,3,-4.659,0,0.0314,0.343,0,0.14,0.113,123.858,45,1982
Bobbie Sue,Oak Ridge Boys,2:53,4,0.787,0.749,7,-12.695,1,0.041,0.33,0.0386,0.096,0.97,134.034,42,1982
Man On Your Mind,Little River Band,4:18,4,0.812,0.697,4,-8.741,1,0.0455,0.0988,0.000282,0.0798,0.961,112.856,41,1982
65 Love Affair,Paul Davis,3:53,4,0.654,0.764,9,-4.046,0,0.0289,0.558,0,0.204,0.88,154.549,40,1982
Chariots Of Fire,Vangelis,3:22,4,0.455,0.444,1,-9.8,1,0.0323,0.049,0.0635,0.112,0.0396,136.308,40,1982
You Should Hear How She Talks About You,Melissa Manchester,4:16,4,0.753,0.834,4,-6.516,1,0.115,0.212,0.0000293,0.259,0.852,131.909,40,1982
Did It In A Minute,Daryl Hall & John Oates,3:37,4,0.756,0.715,7,-7.84,1,0.0309,0.326,0.0000137,0.133,0.922,132.18,39,1982
Keep The Fire Burnin’,REO Speedwagon,3:54,4,0.445,0.818,0,-9.797,1,0.0406,0.15,0.00509,0.313,0.777,104.531,39,1982
Love Is In Control (FINGER On The Trigger),Donna Summer,4:20,4,0.834,0.705,7,-7.366,1,0.0433,0.328,0.00126,0.113,0.852,132.263,39,1982
Comin’ In And Out Of Your Life,Barbra Streisand,4:08,4,0.338,0.295,1,-14.062,1,0.0388,0.804,0.0000167,0.073,0.187,140.057,38,1982
Hard To Say I’m Sorry,Chicago,5:19,4,0.365,0.393,9,-8.135,1,0.03,0.443,0,0.827,0.218,72.258,38,1982
Make A Move On Me,Olivia Newton-John,3:17,4,0.765,0.667,9,-8.605,1,0.0456,0.409,0.00111,0.128,0.566,122.493,36,1982
Heartlight,Neil Diamond,4:25,4,0.57,0.339,3,-17.679,1,0.031,0.539,0.0000755,0.152,0.556,119.605,35,1982
I Keep Forgettin’ (EVERY Time You’re Near),Michael McDonald,3:42,4,0.74,0.658,4,-9.314,0,0.0448,0.302,0.0000253,0.0571,0.914,95.344,34,1982
Pac-Man Fever,Buckner & Garcia,3:49,4,0.802,0.831,10,-6.743,1,0.0627,0.485,0.000121,0.302,0.888,141.553,34,1982
Yesterday’s Songs,Neil Diamond,3:45,4,0.838,0.647,0,-5.584,1,0.0427,0.128,0.00128,0.172,0.374,77.119,29,1982
Someone Could Lose A Heart Tonight,Eddie Rabbitt,3:27,4,0.811,0.496,10,-9.505,0,0.0727,0.287,0.00222,0.0552,0.576,128.756,25,1982
It’s Gonna Take A Miracle,Deniece Williams,3:18,3,0.633,0.451,7,-8.515,1,0.0245,0.858,0.0633,0.186,0.579,95.946,19,1982
I’ve Never Been To Me,Charlene,4:17,4,0.634,0.448,10,-8.468,1,0.0304,0.798,0.00000139,0.226,0.367,121.933,17,1982
Let’s Groove,"Earth, Wind & Fire",6:25,4,0.54,0.972,4,-5.224,0,0.11,0.00997,0.00338,0.92,0.335,131.837,16,1982
Hooked On Classics,Royal Philharmonic Orchestra,2:31,4,0.764,0.861,5,-5.035,0,0.0481,0.00817,0.000537,0.135,0.806,115.277,14,1982
Spirits In The Material World,The Police,3:09,4,0.552,0.656,9,-9.094,0,0.191,0.215,0,0.686,0.785,149.376,13,1982
Love’s Been A Little Bit Hard On Me,Juice Newton,3:13,4,0.5,0.809,9,-6.702,1,0.0494,0.198,0.00000123,0.113,0.646,146.097,7,1982
The Sweetest Thing (I’VE Ever Known),Juice Newton,4:03,4,0.476,0.249,7,-8.928,1,0.0261,0.715,0.0000139,0.273,0.15,76.915,0,1982
My Love,Lionel Richie,2:17,4,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,89,1983
Every Breath You Take,The Police,4:13,4,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,88,1983
Africa,Toto,4:55,4,0.671,0.373,9,-18.064,1,0.0323,0.257,0.0000801,0.0481,0.732,92.718,86,1983
One On One,Daryl Hall & John Oates,2:24,4,0.915,0.453,10,-4.589,0,0.27,0.0872,0.000163,0.104,0.287,139.943,85,1983
Sweet Dreams (ARE Made Of This),Eurythmics,3:36,4,0.692,0.711,0,-7.498,0,0.0317,0.225,0,0.12,0.875,125.135,85,1983
Uptown Girl,Billy Joel,3:17,4,0.701,0.944,4,-2.986,1,0.0455,0.0755,0,0.601,0.792,128.993,85,1983
Maneater,Daryl Hall & John Oates,4:33,4,0.724,0.498,11,-13.083,0,0.0423,0.0405,0.0000856,0.0761,0.823,88.825,83,1983
Billie Jean,Michael Jackson,4:54,4,0.932,0.457,11,-9.62,0,0.0541,0.0173,0.0436,0.0414,0.884,117.002,82,1983
Heart To Heart,Kenny Loggins,3:31,4,0.901,0.136,8,-16.127,0,0.102,0.667,0.354,0.109,0.643,150.076,82,1983
You Are,Lionel Richie,2:58,4,0.682,0.683,8,-6.444,0,0.0287,0.156,0.0000232,0.273,0.64,120.023,81,1983
Down Under,Men at Work,3:42,4,0.739,0.459,11,-14.42,0,0.0294,0.129,0.0194,0.0474,0.892,107.115,80,1983
Total Eclipse Of The Heart,Bonnie Tyler,4:27,4,0.431,0.723,8,-5.887,1,0.0568,0.145,0,0.374,0.19,130.141,80,1983
Beat It,Michael Jackson,4:18,4,0.776,0.711,3,-9.03,0,0.0473,0.0242,0.000353,0.234,0.901,138.728,79,1983
You Can’t Hurry Love,Phil Collins,2:55,4,0.62,0.936,7,-4.593,1,0.0308,0.0261,0,0.0679,0.763,97.527,79,1983
Come On Eileen,Dexys Midnight Runners,4:47,4,0.45,0.656,2,-7.049,1,0.0472,0.664,0.00000302,0.259,0.782,106.61,77,1983
Flashdance… What A Feeling,Irene Cara,3:57,4,0.572,0.655,7,-7.027,0,0.0344,0.00579,0.00000341,0.0901,0.392,122.49,77,1983
Maniac,Michael Sembello,3:05,4,0.628,0.639,8,-5.46,1,0.0435,0.00162,0,0.354,0.493,108.045,77,1983
"Promises, Promises",Naked Eyes,3:33,4,0.781,0.768,11,-5.991,1,0.0394,0.0119,0.00000491,0.325,0.486,123.07,75,1983
True,Spandau Ballet,2:28,4,0.712,0.861,5,-5.487,0,0.25,0.0182,0.00000609,0.511,0.388,84.042,75,1983
Heartbreaker,Dionne Warwick,3:42,3,0.489,0.608,5,-5.329,1,0.0274,0.0143,0,0.193,0.352,148.117,74,1983
Hungry Like The Wolf,Duran Duran,3:40,4,0.691,0.812,0,-7.772,1,0.0558,0.0433,0.00000116,0.299,0.685,127.568,74,1983
Rock The Casbah,The Clash,3:42,4,0.797,0.872,9,-6.727,0,0.0575,0.291,0,0.284,0.866,129.885,72,1983
Separate Ways (WORLDS Apart),Journey,5:23,4,0.469,0.96,4,-4.809,0,0.0629,0.141,0.00000181,0.334,0.37,131.707,72,1983
Islands In The Stream,Kenny Rogers with Dolly Parton,4:09,4,0.592,0.473,8,-9.834,1,0.0354,0.681,0,0.0732,0.741,203.989,71,1983
Making Love Out Of Nothing At All,Air Supply,5:41,4,0.388,0.72,7,-5.541,1,0.033,0.202,0.000288,0.283,0.554,141.283,71,1983
Sexual Healing,Marvin Gaye,3:58,4,0.805,0.602,0,-9.7,0,0.0579,0.119,0.000122,0.0581,0.744,94.382,71,1983
You And I,Eddie Rabbitt and Crystal Gayle,2:32,4,0.469,0.909,10,-6.726,0,0.0389,0.135,0.000164,0.453,0.333,90.222,71,1983
Cum On Feel The Noize,Quiet Riot,4:50,4,0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085,69,1983
How Am I Supposed To Live Without You,Laura Branigan,4:15,4,0.541,0.44,10,-12.206,1,0.031,0.191,0,0.114,0.232,140.273,69,1983
Faithfully,Journey,4:26,4,0.419,0.603,11,-5.63,1,0.0284,0.215,0,0.0997,0.232,129.538,68,1983
Human Nature,Michael Jackson,4:06,4,0.628,0.409,2,-14.348,1,0.0306,0.498,0.00565,0.29,0.755,93.005,68,1983
Straight From The Heart,Bryan Adams,3:31,4,0.587,0.237,0,-18.466,1,0.0272,0.0766,0,0.139,0.366,84.764,68,1983
Truly,Lionel Richie,4:37,4,0.555,0.698,0,-8.874,1,0.0287,0.403,0,0.0851,0.816,168.12,68,1983
Gloria,Laura Branigan,4:49,4,0.776,0.743,9,-6.807,1,0.0289,0.107,0.293,0.149,0.84,131.343,68,1983
Do You Really Want To Hurt Me,Culture Club,4:22,4,0.744,0.376,4,-14.996,0,0.0366,0.0815,0,0.108,0.42,100.78,67,1983
Burning Down The House,Talking Heads,4:01,4,0.779,0.87,5,-13.141,0,0.0574,0.00644,0.0107,0.0399,0.555,102.689,66,1983
Our House,Madness,2:59,4,0.592,0.205,9,-14.601,1,0.048,0.896,0.0000546,0.119,0.378,140.282,66,1983
Pass The Dutchie,Musical Youth,3:25,4,0.805,0.418,7,-14.374,1,0.0978,0.459,0,0.288,0.966,149.737,66,1983
The Girl Is Mine,Michael Jackson and Paul McCartney,3:42,4,0.681,0.527,9,-10.422,1,0.0561,0.225,0,0.0989,0.707,81.425,66,1983
I’m Still Standing,Elton John,3:07,4,0.579,0.904,10,-4.45,0,0.15,0.00687,0,0.0649,0.713,175.316,65,1983
1999,Prince,3:28,4,0.802,0.502,11,-7.136,0,0.059,0.856,0,0.256,0.675,123.097,64,1983
Say Say Say,Paul McCartney & Michael Jackson,3:55,4,0.822,0.686,10,-10.456,0,0.0472,0.115,0.000982,0.0463,0.828,117.743,64,1983
"Tonight, I Celebrate My Love",Peabo Bryson and Roberta Flack,3:31,4,0.482,0.211,3,-14.518,1,0.0318,0.803,0.0000136,0.154,0.158,116.902,64,1983
Always Something There To Remind Me,Naked Eyes,3:39,4,0.611,0.777,7,-5.853,1,0.0376,0.127,0,0.519,0.682,149.26,63,1983
Overkill,Men at Work,3:49,4,0.646,0.809,1,-3.99,0,0.0282,0.0854,0,0.0806,0.588,139.2,63,1983
Wanna Be Startin’ Somethin’,Michael Jackson,6:03,4,0.842,0.872,9,-8.234,1,0.0455,0.0259,0.419,0.0573,0.906,122.111,63,1983
"Baby, Come To Me",Patti Austin and James Ingram,3:35,4,0.631,0.505,7,-12.083,0,0.0903,0.553,0,0.137,0.687,90.204,62,1983
Back On The Chain Gang,The Pretenders,3:51,4,0.598,0.901,2,-6.081,1,0.0359,0.116,0.0401,0.178,0.814,153.24,61,1983
China Girl,David Bowie,5:33,4,0.651,0.699,4,-7.867,0,0.0277,0.039,0.0659,0.124,0.832,133.793,61,1983
Solitaire,Laura Branigan,3:25,4,0.691,0.632,1,-7.598,1,0.0513,0.122,0,0.0646,0.488,169.982,61,1983
Dirty Laundry,Don Henley,5:36,4,0.756,0.772,5,-6.65,0,0.0306,0.0848,0.0026,0.0792,0.954,98.382,60,1983
Never Gonna Let You Go,Sérgio Mendes,4:15,4,0.639,0.403,7,-12.401,1,0.0349,0.567,0,0.67,0.324,132.56,60,1983
Too Shy,Kajagoogoo,3:41,4,0.702,0.871,10,-6.728,0,0.0926,0.127,0.0000418,0.0819,0.664,107.982,60,1983
All Night Long (ALL Night),Lionel Richie,4:20,4,0.744,0.583,1,-12.595,1,0.0429,0.153,0.0000781,0.0248,0.852,108.792,59,1983
Delirious,Prince,3:43,4,0.706,0.912,8,-4.44,0,0.0565,0.0195,0,0.232,0.925,128.004,59,1983
Puttin’ On The Ritz,Taco,4:41,4,0.798,0.292,0,-17.112,1,0.0777,0.152,0.00101,0.185,0.812,98.653,59,1983
I Won’t Hold You Back,Toto,4:53,4,0.539,0.306,0,-15.067,0,0.0264,0.404,0,0.0608,0.0643,102.245,58,1983
Mickey,Toni Basil,0:59,4,0.64,0.568,7,-10.6,1,0.524,0.29,0,0.107,0.702,95.492,58,1983
Mr. Roboto,Styx,5:28,4,0.663,0.482,1,-12.093,1,0.0479,0.186,0,0.0521,0.314,144.13,58,1983
She Works Hard For The Money,Donna Summer,5:20,4,0.758,0.638,8,-13.01,0,0.0378,0.00486,0.0141,0.0938,0.984,136.503,58,1983
All Right,Christopher Cross,5:34,4,0.773,0.407,2,-15.039,1,0.0752,0.0768,0.00000177,0.08,0.775,119.829,57,1983
One Thing Leads To Another,the Fixx,3:25,4,0.785,0.95,5,-6.715,0,0.0484,0.177,0.00927,0.148,0.968,136.823,57,1983
Stand Back,Stevie Nicks,4:57,4,0.638,0.783,11,-9.455,0,0.0435,0.00736,0.0447,0.0381,0.637,115.269,57,1983
Tell Her About It,Billy Joel,3:49,4,0.565,0.894,8,-5.241,1,0.175,0.00777,0,0.49,0.737,182.262,57,1983
The Safety Dance,Men Without Hats,2:45,4,0.632,0.582,5,-13.461,1,0.044,0.0803,0.00351,0.0832,0.576,101.641,57,1983
Time (CLOCK Of The Heart),Culture Club,3:44,4,0.716,0.773,0,-6.329,0,0.0369,0.471,0,0.0493,0.916,117.056,57,1983
Don’t Cry,Asia,3:09,4,0.608,0.638,8,-7.215,1,0.0561,0.217,0,0.324,0.457,87.956,56,1983
Electric Avenue,Eddy Grant,3:47,4,0.974,0.403,2,-12.943,1,0.273,0.106,0.00207,0.0786,0.755,121.97,56,1983
Jeopardy,The Greg Kihn Band,3:49,4,0.854,0.804,0,-4.738,1,0.0349,0.072,0.0443,0.156,0.895,110.558,54,1983
She Blinded Me With Science,Thomas Dolby,3:41,4,0.799,0.755,9,-11.538,1,0.0419,0.108,0.169,0.0661,0.975,128.695,54,1983
She’s A Beauty,The Tubes,4:00,4,0.689,0.789,2,-8.565,1,0.0359,0.0684,0.000516,0.297,0.631,110.739,54,1983
Steppin’ Out,Joe Jackson,4:05,4,0.866,0.56,5,-9.848,0,0.0501,0.0574,0,0.0825,0.961,140.484,54,1983
The Other Guy,Little River Band,3:10,4,0.567,0.726,6,-4.705,1,0.0309,0.216,0,0.12,0.319,141.92,54,1983
Twilight Zone,Golden Earring,7:58,4,0.656,0.756,11,-6.516,0,0.0399,0.00785,0.0000349,0.0927,0.542,118.56,54,1983
Allentown,Billy Joel,3:50,4,0.69,0.837,7,-8.312,1,0.0289,0.127,0.0000072,0.102,0.967,113.817,53,1983
Little Red Corvette,Prince,5:03,4,0.736,0.858,1,-6.054,1,0.098,0.163,0.0000997,0.459,0.659,122.974,53,1983
Shame On The Moon,Bob Seger & The Silver Bullet Band,4:55,4,0.615,0.563,9,-7.585,1,0.0254,0.283,0.00118,0.117,0.547,105.772,53,1983
Come Dancing,The Kinks,3:56,4,0.491,0.751,7,-11.549,1,0.0686,0.23,0.0000122,0.0666,0.916,152.43,51,1983
Goody Two-Shoes,Adam Ant,3:29,4,0.624,0.991,1,-3.467,0,0.135,0.0289,0.0107,0.0477,0.535,95.472,51,1983
Stray Cat Strut,Stray Cats,3:18,4,0.679,0.609,0,-9.482,0,0.0347,0.0957,0.00113,0.0474,0.695,132.467,50,1983
Your Love Is Driving Me Crazy,Sammy Hagar,3:31,4,0.586,0.574,4,-10.83,1,0.0312,0.135,0,0.169,0.739,146.738,50,1983
I Know There’s Something Going On,Frida,5:26,4,0.585,0.795,2,-8.269,0,0.0358,0.0412,0.291,0.0834,0.865,109.011,49,1983
(KEEP Feeling) Fascination,Human League,3:45,4,0.724,0.645,0,-6.699,1,0.0852,0.423,0,0.386,0.713,118.284,48,1983
Rock This Town,Stray Cats,3:27,4,0.254,0.853,2,-10.218,1,0.0517,0.104,0,0.242,0.711,201.952,48,1983
Affair Of The Heart,Rick Springfield,3:59,5,0.538,0.665,2,-7.45,0,0.306,0.311,0,0.155,0.678,112.61,46,1983
Der Kommissar,After the Fire,5:37,4,0.694,0.716,7,-7.468,1,0.0513,0.00909,0.000814,0.0772,0.889,121.427,45,1983
Family Man,Daryl Hall & John Oates,2:59,4,0.731,0.648,2,-5.406,1,0.117,0.138,0,0.151,0.377,75.01,45,1983
Suddenly Last Summer,the Motels,3:36,4,0.725,0.73,2,-7.072,1,0.0266,0.102,0.0912,0.0931,0.635,120.257,44,1983
Hot Girls In Love,Loverboy,3:59,4,0.495,0.772,9,-11.164,1,0.0535,0.00658,0.00000627,0.182,0.56,153.743,42,1983
Let’s Dance,David Bowie,2:54,4,0.415,0.51,0,-5.022,1,0.0343,0.13,0,0.101,0.829,176.246,42,1983
